TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.evoservice.atm3.ATM3v2,LINE;BRANCH,0.4591954022988506,532,255
org.evoservice.atm3.ATM3v2,LINE;BRANCH;CBRANCH,0.41754789272030646,764,333
org.evoservice.atm3.ATM3v2,LINE;BRANCH;CBRANCH,0.37019157088122606,764,298
org.evoservice.atm3.ATM3v2,LINE;BRANCH;CBRANCH,0.5859829148419752,557,349
org.evoservice.atm3.ATM3v2,LINE;BRANCH,0.6287217226814542,408,274
org.evoservice.atm3.ATM3v2,LINE;BRANCH,0.6320511549519183,416,280
org.evoservice.atm3.ATM3v2,LINE;BRANCH,0.35894334321835497,407,164
org.evoservice.atm3.ATM3v2,LINE;BRANCH,0.6941496280110295,407,296
org.evoservice.atm3.ATM3v2,LINE;BRANCH,0.6839288953382914,408,293
