TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.evoservice.wrapper.RegistroDiCassav4_ATG,WEAKMUTATION,0.9285714285714286,140,130
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION,0.851117188951816,341,306
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH;WEAKMUTATION,0.939782233184736,306,292
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH;WEAKMUTATION,0.8840525597218137,306,277
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH;WEAKMUTATION,0.8840525597218137,306,277
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH;WEAKMUTATION,0.8840525597218137,306,277
org.evoservice.wrapper.RegistroDiCassav4_ATG,BRANCH,0.7627118644067796,59,45
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH,0.8615286216821234,165,146
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH,0.8666569086651054,173,154
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH,0.8666569086651054,173,154
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH,0.8666569086651054,173,154
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH,0.9873389929742389,173,171
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH,0.9620169789227166,173,167
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH,0.9873389929742389,173,171
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH,0.9873389929742389,173,171
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH,0.9868525265325518,166,164
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH,0.9474101061302075,166,158
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH,0.9211151591953113,166,154
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH,0.9257508342602891,178,166
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH,0.9876251390433816,178,176
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH,0.9876251390433816,178,176
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH,0.9257508342602891,178,166
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH,0.9118710036141229,175,161
RegistroDiCassav4_ATG,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8607955188325059,404,356
